OBJECTID,Accident_ID,Date,Time,Street1,Distance,Measurement,Direction,Street2,StatePlaneX,StatePlaneY,Location 1
310,2.0111E+11,10/2/2011,1858,23RD ST,None,None,None,FAIRFIELD AVE,11799983,3724932,"(37.54803, -77.4063)"
439,2.0121E+11,10/2/2012,800,1ST ST,None,None,None,CLAY ST,11790386,3724381,"(37.546818, -77.439422)"
242,2.01102E+11,2/19/2011,1257,BELVIDERE ST,None,None,None,BROAD ST,11788092,3725095,"(37.548849, -77.447307)"
351,2.01112E+11,12/29/2011,1900,STAPLES MILL ROAD,None,None,None,AUGUSTA AVE,11773890,3735879,"(37.578889, -77.495897)"
188,2.01008E+11,8/30/2010,1915,6700 W CARNATION ST,None,None,None,None,11767790,3709940,"(37.507831, -77.517877)"
43,2.00907E+11,7/1/2009,1352,HARWOOD ST,None,None,None,BOWEN ST,11790659,3708707,"(37.503765, -77.439088)"
107,2.00912E+11,12/11/2009,210,HARRISON ST,None,None,None,MAIN ST,11785791,3723981,"(37.54586, -77.455286)"
397,2.01205E+11,5/3/2012,1714,CARY ST,None,None,None,MCCLOY ST,11777990,3726736,"(37.55366, -77.48209)"
295,2.01108E+11,8/28/2011,1950,BELVIDERE ST,None,None,None,FRANKLIN ST,11787681,3724425,"(37.547022, -77.44875)"
60,2.00908E+11,8/21/2009,2220,BROAD ST,20,Feet,E,12TH ST,11792775,3721652,"(37.539249, -77.431289)"
148,2.01004E+11,4/21/2010,1830,MAIN ST,None,None,None,BELVIDERE ST,11787621,3723968,"(37.545769, -77.448975)"
600,2.01405E+11,5/7/2014,1400,3506 N HOPKINS ROAD,500,Feet,S,N HOPKINS ROAD,11786141,3708051,"(37.502102, -77.454687)"
362,2.01201E+11,1/21/2012,1530,W LABURNUM AVE,None,None,None,CHAMBERLAYNE AVE,11787948,3738093,"(37.584549, -77.447304)"
352,2.01112E+11,12/30/2011,1558,WILLIAMSBURG ROAD,None,None,None,MONTEBELLO CIR,11800606,3712797,"(37.514685, -77.404636)"
625,2.01408E+11,8/15/2014,55,MAIN ST,None,None,None,ROBINSON ST,11780554,3726106,"(37.551854, -77.473269)"
454,2.01211E+11,11/15/2012,1750,ST JOHN`S WOOD DR,None,None,None,FINCHLEY PL,11768128,3713055,"(37.516376, -77.5166)"
656,2.0141E+11,10/25/2014,1830,REDD ST,200,Feet,E,ACCOMMODATION ST,11795725,3724769,"(37.547717, -77.420992)"
75,2.0091E+11,10/4/2009,15,GROVE AVE,None,None,None,LOMBARDY ST,11784503,3725360,"(37.549686, -77.459676)"
348,2.01112E+11,12/23/2011,824,2ND ST,None,None,None,FRANKLIN ST,11789718,3722924,"(37.542837, -77.441783)"
645,2.0141E+11,10/2/2014,1557,NINE MILE ROAD,20,Feet,N,29TH ST,11800755,3722522,"(37.541387, -77.403733)"
575,2.01402E+11,2/25/2014,250,HARWOOD ST,100,Feet,N,JEFFERSON DAVIS HWY,11788403,3708499,"(37.503263, -77.446873)"
220,2.01011E+11,11/29/2010,925,2ND ST,50,Feet,S,MARSHALL ST,11790418,3723872,"(37.545419, -77.439332)"
653,2.0141E+11,10/22/2014,1310,FRANKLIN ST,None,None,None,2ND ST,11789719,3722924,"(37.542837, -77.441779)"
10,2.00902E+11,2/22/2009,5,BROAD ST,None,None,None,BELVIDERE ST,11788092,3725095,"(37.548849, -77.447307)"
387,2.01203E+11,3/10/2012,1743,BELVIDERE ST,None,None,None,FRANKLIN ST,11787681,3724425,"(37.547022, -77.44875)"
305,2.01109E+11,9/23/2011,2041,BROAD ST,None,None,None,ROBINSON ST,11782313,3729331,"(37.560657, -77.46708)"
109,2.00912E+11,12/16/2009,2040,MAIN ST,None,None,None,MEADOW ST,11782713,3725168,"(37.549213, -77.465857)"
135,2.01003E+11,3/19/2010,2006,BROAD ST,25,Feet,E,4TH ST,11790710,3723171,"(37.543485, -77.438352)"
504,2.01306E+11,6/1/2013,140,14TH ST,None,None,None,MAIN ST,11792601,3720305,"(37.535556, -77.431942)"
651,2.0141E+11,10/19/2014,2141,GRACE ST,None,None,None,ADAMS ST,11789163,3723820,"(37.545315, -77.443662)"
267,2.01105E+11,5/8/2011,2342,HULL STREET ROAD,200,Feet,W,WARWICK ROAD,11776430,3704516,"(37.492684, -77.488292)"
419,2.01206E+11,6/24/2012,2117,B100 DOVE ST,None,None,None,None,11792516,3730420,"(37.563336, -77.43184)"
456,2.01211E+11,11/17/2012,1749,25TH ST,200,Feet,S,R ST,11798523,3721746,"(37.539327, -77.411462)"
27,2.00905E+11,5/4/2009,2200,BOULEVARD,None,None,None,CLAY ST,11781718,3730756,"(37.564589, -77.469079)"
161,2.01006E+11,6/1/2010,2033,CASTLEWOOD ROAD,None,None,None,HADEN AVE,11789017,3699034,"(37.477251, -77.445121)"
667,2.01412E+11,12/4/2014,208,FOREST HILL AVE,174,Feet,W,41ST ST,11779481,3713718,"(37.517865, -77.477433)"
343,2.01112E+11,12/12/2011,1904,COMMERCE ROAD,0,Miles,S,RUFFIN ROAD,11793142,3699997,"(37.479768, -77.430869)"
12,2.00903E+11,3/9/2009,1953,BRADY ST,100,Feet,W,LYNHAVEN AVE,11789986,3703916,"(37.490629, -77.441593)"
150,2.01004E+11,4/24/2010,1517,HOSPITAL ST,None,None,None,5TH ST,11793301,3726134,"(37.551542, -77.4293)"
344,2.01112E+11,12/15/2011,1250,ELLWOOD AVE,None,None,None,NANSEMOND ST,11776865,3727702,"(37.556346, -77.485935)"
579,2.01403E+11,3/2/2014,215,LEIGH ST,20,Feet,E,24TH ST,11796871,3720076,"(37.534793, -77.417225)"
704,2.01505E+11,5/23/2015,730,JEFFERSON DAVIS HWY,None,None,None,BELLS ROAD,11789446,3697490,"(37.472998, -77.443702)"
187,2.01008E+11,8/26/2010,1845,MEADOWBRIDGE ROAD,15,Feet,S,NEWBURY AVE,11796360,3733067,"(37.570485, -77.418474)"
41,2.00906E+11,6/13/2009,750,BROAD ST,150,Feet,W,4TH ST,11790710,3723171,"(37.543485, -77.438352)"
574,2.01402E+11,2/21/2014,2155,BROAD ST,None,None,None,ROBINSON ST,11782313,3729331,"(37.560657, -77.46708)"
564,2.01401E+11,1/16/2014,2139,CHAMBERLAYNE AVE,None,None,None,WESTWOOD AVE,11788289,3735761,"(37.578134, -77.446217)"
549,2.01311E+11,11/12/2013,1051,LEIGH ST,None,None,None,LOMBARDY ST,11786269,3728043,"(37.557001, -77.453482)"
512,2.01307E+11,7/11/2013,1437,216 W BROOKLAND PARK BLVD,None,None,None,None,11791301,3733477,"(37.571769, -77.435913)"
594,2.01404E+11,4/23/2014,1655,SEMMES AVE,None,None,None,34TH ST,11781900,3713088,"(37.516063, -77.469117)"
263,2.01104E+11,4/17/2011,227,MAIN ST,None,None,None,STAFFORD AVE,11781276,3725792,"(37.55097, -77.470791)"
240,2.01102E+11,2/8/2011,815,GRACE ST,None,None,None,4TH ST,11790479,3722854,"(37.542621, -77.439161)"
570,2.01402E+11,2/17/2014,1325,HULL STREET ROAD,None,None,None,HEY ROAD,11771836,3700671,"(37.482259, -77.504266)"
221,2.01011E+11,11/29/2010,1800,MONROE ST,None,None,None,FRANKLIN ST,11788180,3724058,"(37.545999, -77.447043)"
470,2.01301E+11,1/4/2013,36,ROBINSON ST,10,Feet,S,MAIN ST,11780555,3726106,"(37.551854, -77.473266)"
510,2.01306E+11,6/20/2013,1548,8TH ST,None,None,None,CLAY ST,11792231,3723029,"(37.543048, -77.433111)"
206,2.0101E+11,10/10/2010,1830,MOORE ST,75,Feet,W,ELIZABETH ST,11786006,3728551,"(37.558404, -77.45437)"
